Time,Voltage,Current,Vibration,Temperature,Health Status
13:10:41,236.5785298,3.02,1.09,46.19,Healthy
13:10:43,236.1760895,2.85,0.88,46.25,Healthy
13:10:46,236.7717011,3.57,0.92,46.25,Healthy
13:10:49,237.6087768,2.86,1.2,46.25,Healthy
13:10:52,238.0353635,2.89,1.18,46.25,Healthy
13:10:54,237.0856045,3.58,0.86,46.25,Healthy
13:10:57,235.121696,2.9,0.96,46.25,Healthy
13:11:00,236.031211,2.89,1.22,46.25,Healthy
13:11:03,236.4658465,3.53,0.97,46.38,Healthy
13:11:06,236.9326772,3.57,1,46.38,Healthy
13:11:08,237.7938994,3.58,1.2,46.44,Healthy
13:11:11,237.2546294,2.86,1.09,46.44,Healthy
13:11:14,236.610725,2.83,0.95,46.5,Healthy
13:11:17,235.000964,3.55,0.88,46.56,Healthy
13:11:19,235.2102329,3.55,1.15,46.56,Healthy
13:11:22,235.4436483,3.58,1.01,46.63,Healthy
13:11:25,235.2504769,3.53,0.81,46.69,Healthy
13:11:28,235.6770636,3.54,0.98,46.69,Healthy
13:11:30,237.600728,2.84,1.24,46.69,Healthy
13:11:33,233.5682767,3.51,1.09,46.75,Healthy
13:11:36,234.2604739,3.51,0.89,46.81,Healthy
13:11:39,234.2846203,3.52,1.12,46.81,Healthy
13:11:41,236.610725,3.57,1.12,46.88,Healthy
13:11:44,236.3934073,3.56,0.85,46.88,Healthy
13:11:47,237.3834103,3.52,0.93,46.88,Healthy
13:11:50,237.6409721,3.46,1.11,46.94,Healthy
13:11:52,237.9387778,3.57,1.21,47,Healthy
13:11:55,236.8038963,3.56,0.97,47,Healthy
13:11:58,236.3773096,2.84,0.96,47,Healthy
13:12:01,236.3451144,2.83,1.06,47.06,Healthy
13:12:03,235.4758435,3.51,1.14,47.13,Healthy
13:12:06,234.4053524,3.49,0.95,47.19,Healthy
13:12:09,235.9185278,3.49,0.77,47.19,Healthy
13:12:12,237.809997,3.56,1.13,47.25,Healthy
13:12:14,235.6126732,3.55,1.11,47.25,Healthy
13:12:17,236.0392598,3.53,0.8,47.25,Healthy
13:12:20,235.660966,3.58,1.11,47.25,Healthy
13:12:23,237.3753615,3.52,1.19,47.31,Healthy
13:12:25,237.4558495,3.53,0.98,47.38,Healthy
13:12:28,235.8541373,3.55,0.88,47.38,Healthy
13:12:31,233.4394958,3.49,1.08,47.38,Healthy
13:12:34,235.1297449,3.5,1.15,47.44,Healthy
13:12:36,235.3068186,3.5,0.83,47.5,Healthy
13:12:39,238.9770737,2.89,1.01,47.5,Healthy
13:12:42,234.9687687,2.77,1.13,47.56,Healthy
13:12:45,237.5926792,3.52,0.88,47.63,Healthy
13:12:47,237.6409721,3.55,0.87,47.69,Healthy
13:12:50,237.270727,3.51,1.06,47.75,Healthy
13:12:53,237.0373117,3.48,1.19,47.75,Healthy
13:12:56,236.5865786,3.5,1,47.75,Healthy
13:12:58,235.0975496,3.5,0.85,47.75,Healthy
13:13:01,235.3390138,3.47,1.05,47.75,Healthy
13:13:04,235.2102329,3.54,1.1,47.69,Healthy
13:13:07,234.8721831,3.51,0.9,47.69,Healthy
13:13:09,234.9043783,3.46,0.8,47.69,Healthy
13:13:12,235.1297449,3.52,1.16,47.69,Healthy
13:13:15,235.5482827,3.41,1.15,47.75,Healthy
13:13:18,236.2082847,3.47,0.93,47.75,Healthy
13:13:21,235.7897469,3.46,0.93,47.75,Healthy
13:13:23,235.3953554,3.53,1.17,47.81,Healthy
13:13:26,232.8599818,3.49,1.18,47.81,Healthy
13:13:29,234.2202299,3.57,0.86,47.81,Healthy
13:13:32,234.2846203,3.54,0.87,47.88,Healthy
13:13:34,234.9687687,3.47,1.21,47.88,Healthy
13:13:37,235.2665745,3.52,1.05,47.88,Healthy
13:13:40,235.4436483,3.57,0.92,47.94,Healthy
13:13:43,232.8197378,2.96,0.84,47.88,Healthy
13:13:45,235.8702349,2.83,1.01,47.94,Healthy
13:13:48,235.7173076,3.52,1.19,48,Healthy
13:13:51,236.1841383,3.52,1.07,48,Healthy
13:13:54,237.7778017,3.5,0.89,48.06,Healthy
13:13:56,237.5121912,3.5,0.97,48.06,Healthy
13:13:59,237.1741414,3.51,1.15,48.06,Healthy
13:14:02,237.5041424,3.55,1.2,48.19,Healthy
13:14:05,236.0956015,3.53,0.99,48.19,Healthy
13:14:07,236.2082847,3.53,0.9,48.25,Healthy
13:14:10,236.4336513,3.51,1.05,48.25,Healthy
13:14:13,236.3129192,3.52,1.18,48.31,Healthy
13:14:16,236.1036503,3.52,1.02,48.31,Healthy
13:14:18,236.6429202,3.53,0.79,48.31,Healthy
13:14:21,236.3129192,3.51,0.93,48.31,Healthy
13:14:24,235.5643803,3.56,1.14,48.38,Healthy
13:14:27,235.5482827,3.46,1.16,48.38,Healthy
13:14:29,235.7897469,3.59,0.89,48.38,Healthy
13:14:32,235.6448684,3.47,0.88,48.38,Healthy
13:14:35,236.1197479,3.56,1.14,48.38,Healthy
13:14:38,237.2868246,3.52,1.23,48.44,Healthy
13:14:40,237.0534093,3.57,0.93,48.38,Healthy
13:14:43,237.7214601,3.47,0.91,48.38,Healthy
13:14:46,236.9890188,3.5,1.02,48.44,Healthy
13:14:49,237.1660926,3.55,1.21,48.44,Healthy
13:14:51,237.0775557,3.46,1.06,48.44,Healthy
13:14:54,237.2546294,3.5,0.96,48.5,Healthy
13:14:57,236.6026762,3.48,1.03,48.5,Healthy
13:15:00,235.6448684,3.5,1.2,48.5,Healthy
13:15:02,235.7575517,3.48,1.03,48.56,Healthy
13:15:05,235.990967,3.54,0.93,48.63,Healthy
13:15:08,236.0875527,3.5,0.95,48.63,Healthy
13:15:11,235.6690148,3.54,1.13,48.69,Healthy
13:15:14,235.4597459,3.52,1.1,48.69,Healthy
13:15:16,235.3953554,2.93,0.89,48.63,Healthy
13:15:19,235.2021841,2.78,0.85,48.75,Healthy
13:15:22,235.4758435,3.59,1.14,48.81,Healthy
13:15:25,236.2082847,3.58,1.04,48.88,Healthy
13:15:27,235.7816981,3.54,0.88,48.88,Healthy
13:15:30,235.2746233,3.53,0.79,48.88,Healthy
13:15:33,235.6690148,3.54,1.15,48.94,Healthy
13:15:36,235.6770636,3.51,1.14,48.94,Healthy
13:15:38,235.8782837,3.53,1.06,48.94,Healthy
13:15:41,237.0131653,3.58,0.89,49,Healthy
13:15:44,237.9387778,3.45,0.96,49,Healthy
13:15:47,236.8843844,3.49,1.14,49,Healthy
13:15:49,236.9729212,3.53,1.2,49.06,Healthy
13:15:52,235.0653544,3.57,1.03,49.06,Healthy
13:15:55,236.9165796,3.5,0.9,49.06,Healthy
13:15:58,237.9870707,3.53,0.9,49.13,Healthy
13:16:00,238.0434123,3.56,1.1,49.13,Healthy
13:16:03,237.8421922,3.51,1.22,49.19,Healthy
13:16:06,238.4458526,3.59,1.09,49.25,Healthy
13:16:09,239.130001,3.49,0.9,49.25,Healthy
13:16:11,239.1943915,3.57,0.93,49.25,Healthy
13:16:14,238.510243,3.57,1.12,49.31,Healthy
13:16:17,242.6312313,3.56,1.16,49.31,Healthy
13:16:20,238.5343894,3.5,0.91,49.25,Healthy
13:16:22,237.9226802,3.49,0.77,49.19,Healthy
13:16:25,237.0212141,3.51,1.03,49.19,Healthy
13:16:28,236.7314571,3.54,1.21,49.19,Healthy
13:16:31,235.9990158,3.49,1.15,49.19,Healthy
13:16:33,238.3170717,3.49,1.02,49.13,Healthy
13:16:36,238.469999,3.49,0.88,49.13,Healthy
13:16:39,237.3270687,3.47,0.89,49.19,Healthy
13:16:42,236.7636523,3.55,0.92,49.19,Healthy
13:16:44,236.24048,3.51,1.16,49.19,Healthy
13:16:47,238.3573157,3.53,1.22,49.19,Healthy
13:16:50,238.9931713,3.51,0.94,49.25,Healthy
13:16:53,236.9890188,3.5,0.81,49.25,Healthy
13:16:55,236.8843844,3.57,0.87,49.25,Healthy
13:16:58,237.5443864,3.59,1.11,49.25,Healthy
13:17:01,237.6892649,3.49,1.18,49.31,Healthy
13:17:04,236.0392598,3.5,1.1,49.38,Healthy
13:17:06,235.9346254,3.56,1.01,49.38,Healthy
13:17:09,237.4478007,3.54,0.87,49.38,Healthy
13:17:12,237.8180458,3.57,0.97,49.44,Healthy
13:17:15,238.2526812,3.59,1.16,49.5,Healthy
13:17:18,235.1458425,2.84,1.16,49.44,Healthy
13:17:20,237.560484,2.84,1.05,49.5,Healthy
13:17:23,237.5443864,2.77,0.95,49.56,Healthy
13:17:26,237.0534093,2.9,0.85,49.56,Healthy
13:17:29,235.0975496,2.77,1.02,49.56,Healthy
13:17:31,237.2063366,2.88,1.2,49.63,Healthy
13:17:34,236.0392598,2.89,1.14,49.63,Healthy
13:17:37,237.2063366,3.58,0.94,49.63,Healthy
13:17:40,237.2626782,2.8,0.85,49.63,Healthy
13:17:42,236.98097,2.9,0.95,49.63,Healthy
13:17:45,238.0112171,3.56,1.15,49.69,Healthy
13:17:48,234.6307189,3.01,1.17,49.63,Healthy
13:17:51,239.0817082,2.89,0.88,49.69,Healthy
13:17:53,236.5785298,3.56,0.79,49.75,Healthy
13:17:56,235.7253564,3.58,0.93,49.81,Healthy
13:17:59,235.5643803,3.54,1.12,49.81,Healthy
13:18:02,239.7336614,2.87,1.19,49.88,Healthy
13:18:04,236.2485288,2.96,1,49.88,Healthy
13:18:07,236.1760895,3.58,0.87,49.94,Healthy
13:18:10,235.6690148,3.54,0.81,50,Healthy
13:18:13,237.4478007,3.56,1.06,50,Healthy
13:18:15,238.3090229,3.49,1.19,50,Healthy
13:18:18,238.1560956,3.6,1.11,50.06,Healthy
13:18:21,238.099754,2.85,0.91,50.06,Healthy
13:18:24,236.8360915,2.91,0.81,50.06,Healthy
13:18:26,237.2224342,3.53,1.09,50.13,Healthy
13:18:29,236.8280427,3.56,1.12,50.19,Healthy
13:18:32,239.1058546,3.29,1.19,50.19,Healthy
13:18:35,237.600728,3.57,0.96,50.25,Healthy
13:18:37,236.9326772,3.54,0.84,50.19,Healthy
13:18:40,237.1338973,3.56,0.83,50.19,Healthy
13:18:43,238.3412181,3.52,1.06,50.25,Healthy
13:18:46,237.4397519,3.57,1.22,50.25,Healthy
13:18:48,235.3873066,2.88,1.12,50.25,Healthy
13:18:51,238.7195119,2.89,0.9,50.25,Healthy
13:18:54,239.1380498,3.55,0.98,50.31,Healthy
13:18:57,239.2668307,3.57,1.13,50.31,Healthy
13:18:59,238.9770737,3.54,1.19,50.31,Healthy
13:19:02,237.9226802,3.57,1.04,50.38,Healthy
13:19:05,237.3834103,3.62,0.92,50.38,Healthy
13:19:08,238.3251205,3.54,0.93,50.44,Healthy
13:19:10,239.2668307,3.63,0.99,50.44,Healthy
13:19:13,239.2748795,3.54,1.21,50.5,Healthy
13:19:16,238.2526812,3.57,1.09,50.5,Healthy
13:19:19,236.8199939,3.49,0.91,50.5,Healthy
13:19:22,237.5443864,3.55,0.85,50.56,Healthy
13:19:24,237.4156055,3.53,0.97,50.56,Healthy
13:19:27,238.6068287,3.53,1.13,50.56,Healthy
13:19:30,237.3431663,2.95,1.23,50.44,Healthy
13:19:33,236.6670666,2.87,1.01,50.56,Healthy
13:19:35,235.6046244,3.49,0.91,50.69,Healthy
13:19:38,236.7958475,3.56,0.93,50.69,Healthy
13:19:41,237.6409721,3.54,0.98,50.75,Healthy
13:19:44,236.2163335,3.57,1.18,50.75,Healthy
13:19:46,240.6673228,3.51,1.11,50.75,Healthy
13:19:49,236.650969,3.6,0.91,50.81,Healthy
13:19:52,236.98097,3.58,0.81,50.88,Healthy
13:19:55,239.9026863,3.6,0.94,50.88,Healthy
13:19:57,238.9448785,3.47,1.11,50.94,Healthy
13:20:00,238.0353635,3.54,1.16,50.94,Healthy
13:20:03,239.2587819,3.57,1.2,50.94,Healthy
13:20:06,238.6551215,3.57,0.92,50.94,Healthy
13:20:08,238.3734133,3.56,0.87,51,Healthy
13:20:11,237.0131653,3.59,0.78,51,Healthy
13:20:14,237.6087768,3.52,1.06,50.94,Healthy
13:20:17,238.2687789,3.53,1.23,50.94,Healthy
13:20:19,238.1078028,3.52,1.05,50.88,Healthy
13:20:22,237.4075567,3.52,0.79,50.81,Healthy
13:20:25,237.1580437,3.57,0.92,50.81,Healthy
13:20:28,237.3270687,3.54,1.12,50.81,Healthy
13:20:30,236.5141393,3.51,1.17,50.81,Healthy
13:20:33,239.4358556,2.87,0.95,50.75,Healthy
13:20:36,234.9607199,2.9,0.88,50.75,Healthy
13:20:39,236.6670666,3.54,1.06,50.88,Healthy
13:20:41,237.2385318,3.52,1.17,50.88,Healthy
13:20:44,237.3592639,3.48,1.07,50.94,Healthy
13:20:47,237.2546294,3.5,0.82,50.94,Healthy
13:20:50,236.5865786,3.53,0.82,50.94,Healthy
13:20:52,236.0392598,3.5,1.02,50.94,Healthy
13:20:55,237.6892649,3.56,1.16,50.94,Healthy
13:20:58,237.2224342,3.54,0.92,50.94,Healthy
13:21:01,237.1580437,3.56,0.74,50.88,Healthy
13:21:03,237.1097509,3.55,0.88,50.88,Healthy
13:21:06,237.8180458,3.59,1.16,50.88,Healthy
13:21:09,238.5182918,3.53,1.22,50.81,Healthy
13:21:12,238.6712191,3.53,0.99,50.88,Healthy
13:21:15,238.9770737,3.53,0.85,50.88,Healthy
13:21:17,239.8382959,3.5,0.99,50.88,Healthy
13:21:20,239.8382959,3.5,1.2,50.94,Healthy
13:21:23,238.9287809,3.5,1.13,50.94,Healthy
13:21:26,238.6631703,3.56,0.9,50.94,Healthy
13:21:28,238.0917051,3.5,0.8,50.88,Healthy
13:21:31,237.7778017,3.55,0.99,50.88,Healthy
13:21:34,236.650969,3.49,1.17,50.88,Healthy
13:21:37,238.220486,3.52,1.19,50.81,Healthy
13:21:39,237.6892649,3.56,1.01,50.88,Healthy
13:21:42,238.0917051,3.42,0.83,50.88,Healthy
13:21:45,238.0917051,3.58,0.99,50.94,Healthy
13:21:48,238.2365836,3.5,1.18,51,Healthy
13:21:50,238.3492669,3.58,1.06,50.94,Healthy
13:21:53,239.3956116,3.61,0.87,50.94,Healthy
13:21:56,238.6229263,3.5,0.98,50.88,Healthy
13:21:59,238.139998,3.59,1.13,50.81,Healthy
13:22:01,238.0031683,3.54,1.16,50.75,Healthy
13:22:04,238.4780478,3.6,0.98,50.69,Healthy
13:22:07,238.550487,2.95,0.85,50.75,Healthy
13:22:10,238.6551215,2.9,1.04,50.56,Healthy
13:22:12,241.3997641,3.6,1.17,50.63,Healthy
13:22:15,238.2929253,3.54,0.89,50.63,Healthy
13:22:18,238.5746335,3.48,0.78,50.63,Healthy
13:22:21,238.5343894,3.5,0.92,50.63,Healthy
13:22:23,238.0756075,3.65,1.13,50.63,Healthy
13:22:26,237.1338973,3.61,0.92,50.69,Healthy
13:22:29,238.5343894,3.52,0.85,50.69,Healthy
13:22:32,237.4719472,3.5,0.88,50.69,Healthy
13:22:34,237.600728,3.56,1.11,50.75,Healthy
13:22:37,237.809997,3.58,1.17,50.75,Healthy
13:22:40,237.6731673,3.5,0.93,50.81,Healthy
13:22:43,237.0051165,3.53,0.87,50.88,Healthy
13:22:45,236.900482,3.58,0.97,50.88,Healthy
13:22:48,237.5121912,3.56,1.15,50.88,Healthy
13:22:51,236.5785298,3.51,1.04,50.94,Healthy
13:22:54,236.4980417,3.52,0.83,50.94,Healthy
13:22:56,236.1760895,3.52,1.05,51,Healthy
13:22:59,235.8702349,3.54,1.17,51,Healthy
13:23:02,237.4236543,3.57,0.94,51,Healthy
13:23:05,238.1078028,3.53,0.9,51.06,Healthy
13:23:08,237.850241,3.55,1,51.13,Healthy
13:23:10,237.7536553,3.5,1.19,51.13,Healthy
13:23:13,237.7617041,3.57,1.04,51.13,Healthy
13:23:16,237.7295089,3.53,0.88,51.13,Healthy
13:23:19,237.1660926,3.59,1,51.13,Healthy
13:23:21,236.5624322,3.5,1.24,51.13,Healthy
13:23:24,237.0212141,3.53,1.07,51.13,Healthy
13:23:27,237.3190199,3.52,0.89,51.19,Healthy
13:23:30,237.0856045,3.57,0.95,51.19,Healthy
13:33:07,237.8824362,3.53,1.2,51.25,Healthy
13:33:07,237.7938994,3.57,1.15,51.25,Healthy
13:33:07,237.2224342,3.51,0.91,51.25,Healthy
13:33:07,237.4880448,3.59,0.79,51.31,Healthy
13:33:07,237.3190199,3.53,1.09,51.31,Healthy
13:33:07,238.8321952,3.58,1.2,51.31,Healthy
13:33:07,238.7839024,3.54,1.06,51.38,Healthy
13:33:07,238.8643904,3.53,0.87,51.38,Healthy
13:33:07,237.9870707,3.56,1.02,51.38,Healthy
13:33:07,237.850241,3.48,1.17,51.38,Healthy
13:33:07,236.7958475,3.59,1.15,51.38,Healthy
13:33:07,236.8038963,3.5,0.88,51.38,Healthy
13:33:07,236.610725,3.48,0.82,51.38,Healthy
13:33:07,237.3190199,2.84,0.9,51.31,Healthy
13:33:07,236.5463346,2.91,1.14,51.31,Healthy
13:33:07,236.2968216,2.86,1.01,51.31,Healthy
13:33:07,237.230483,2.85,0.82,51.31,Healthy
13:33:07,237.4075567,2.88,1.02,51.38,Healthy
