Time,Voltage,Current,Vibration,Temperature,Health Score,Health Status
13:10:41,293.93,3.02,1.09,46.19,,
13:10:43,293.43,2.85,0.88,46.25,,
13:10:46,294.17,3.57,0.92,46.25,,
13:10:49,295.21,2.86,1.2,46.25,,
13:10:52,295.74,2.89,1.18,46.25,,
13:10:54,294.56,3.58,0.86,46.25,,
13:10:57,292.12,2.9,0.96,46.25,,
13:11:00,293.25,2.89,1.22,46.25,,
13:11:03,293.79,3.53,0.97,46.38,,
13:11:06,294.37,3.57,1.0,46.38,,
13:11:08,295.44,3.58,1.2,46.44,,
13:11:11,294.77,2.86,1.09,46.44,,
13:11:14,293.97,2.83,0.95,46.5,,
13:11:17,291.97,3.55,0.88,46.56,,
13:11:19,292.23,3.55,1.15,46.56,,
13:11:22,292.52,3.58,1.01,46.63,,
13:11:25,292.28,3.53,0.81,46.69,,
13:11:28,292.81,3.54,0.98,46.69,,
13:11:30,295.2,2.84,1.24,46.69,,
13:11:33,290.19,3.51,1.09,46.75,,
13:11:36,291.05,3.51,0.89,46.81,,
13:11:39,291.08,3.52,1.12,46.81,,
13:11:41,293.97,3.57,1.12,46.88,,
13:11:44,293.7,3.56,0.85,46.88,,
13:11:47,294.93,3.52,0.93,46.88,,
13:11:50,295.25,3.46,1.11,46.94,,
13:11:52,295.62,3.57,1.21,47.0,,
13:11:55,294.21,3.56,0.97,47.0,,
13:11:58,293.68,2.84,0.96,47.0,,
13:12:01,293.64,2.83,1.06,47.06,,
13:12:03,292.56,3.51,1.14,47.13,,
13:12:06,291.23,3.49,0.95,47.19,,
13:12:09,293.11,3.49,0.77,47.19,,
13:12:12,295.46,3.56,1.13,47.25,,
13:12:14,292.73,3.55,1.11,47.25,,
13:12:17,293.26,3.53,0.8,47.25,,
13:12:20,292.79,3.58,1.11,47.25,,
13:12:23,294.92,3.52,1.19,47.31,,
13:12:25,295.02,3.53,0.98,47.38,,
13:12:28,293.03,3.55,0.88,47.38,,
13:12:31,290.03,3.49,1.08,47.38,,
13:12:34,292.13,3.5,1.15,47.44,,
13:12:36,292.35,3.5,0.83,47.5,,
13:12:39,296.91,2.89,1.01,47.5,,
13:12:42,291.93,2.77,1.13,47.56,,
13:12:45,295.19,3.52,0.88,47.63,,
13:12:47,295.25,3.55,0.87,47.69,,
13:12:50,294.79,3.51,1.06,47.75,,
13:12:53,294.5,3.48,1.19,47.75,,
13:12:56,293.94,3.5,1.0,47.75,,
13:12:58,292.09,3.5,0.85,47.75,,
13:13:01,292.39,3.47,1.05,47.75,,
13:13:04,292.23,3.54,1.1,47.69,,
13:13:07,291.81,3.51,0.9,47.69,,
13:13:09,291.85,3.46,0.8,47.69,,
13:13:12,292.13,3.52,1.16,47.69,,
13:13:15,292.65,3.41,1.15,47.75,,
13:13:18,293.47,3.47,0.93,47.75,,
13:13:21,292.95,3.46,0.93,47.75,,
13:13:23,292.46,3.53,1.17,47.81,,
13:13:26,289.31,3.49,1.18,47.81,,
13:13:29,291.0,3.57,0.86,47.81,,
13:13:32,291.08,3.54,0.87,47.88,,
13:13:34,291.93,3.47,1.21,47.88,,
13:13:37,292.3,3.52,1.05,47.88,,
13:13:40,292.52,3.57,0.92,47.94,,
13:13:43,289.26,2.96,0.84,47.88,,
13:13:45,293.05,2.83,1.01,47.94,,
13:13:48,292.86,3.52,1.19,48.0,,
13:13:51,293.44,3.52,1.07,48.0,,
13:13:54,295.42,3.5,0.89,48.06,,
13:13:56,295.09,3.5,0.97,48.06,,
13:13:59,294.67,3.51,1.15,48.06,,
13:14:02,295.08,3.55,1.2,48.19,,
13:14:05,293.33,3.53,0.99,48.19,,
13:14:07,293.47,3.53,0.9,48.25,,
13:14:10,293.75,3.51,1.05,48.25,,
13:14:13,293.6,3.52,1.18,48.31,,
13:14:16,293.34,3.52,1.02,48.31,,
13:14:18,294.01,3.53,0.79,48.31,,
13:14:21,293.6,3.51,0.93,48.31,,
13:14:24,292.67,3.56,1.14,48.38,,
13:14:27,292.65,3.46,1.16,48.38,,
13:14:29,292.95,3.59,0.89,48.38,,
13:14:32,292.77,3.47,0.88,48.38,,
13:14:35,293.36,3.56,1.14,48.38,,
13:14:38,294.81,3.52,1.23,48.44,,
13:14:40,294.52,3.57,0.93,48.38,,
13:14:43,295.35,3.47,0.91,48.38,,
13:14:46,294.44,3.5,1.02,48.44,,
13:14:49,294.66,3.55,1.21,48.44,,
13:14:51,294.55,3.46,1.06,48.44,,
13:14:54,294.77,3.5,0.96,48.5,,
13:14:57,293.96,3.48,1.03,48.5,,
13:15:00,292.77,3.5,1.2,48.5,,
13:15:02,292.91,3.48,1.03,48.56,,
13:15:05,293.2,3.54,0.93,48.63,,
13:15:08,293.32,3.5,0.95,48.63,,
13:15:11,292.8,3.54,1.13,48.69,,
13:15:14,292.54,3.52,1.1,48.69,,
13:15:16,292.46,2.93,0.89,48.63,,
13:15:19,292.22,2.78,0.85,48.75,,
13:15:22,292.56,3.59,1.14,48.81,,
